"","SetID","P.value","N.Marker.All","N.Marker.Test"
"1","A3GALT2",1,4,0
"2","AADACL3",1,3,0
"3","AADACL4",1,4,0
"4","ABCA4",1,24,0
"5","ABCD3",1,4,0
"6","ACADM",1,4,0
"7","ACAP3",1,20,0
"8","ACKR1",1,6,0
"9","ACOT11",1,12,0
"10","ACOT7",1,9,0
"11","ACP6",1,7,0
"12","ACP6\x3bNBPF19",1,1,0
"13","ACTL8",1,1,0
"14","ACTRT2",1,3,0
"15","ADAM15",1,2,0
"16","ADAM30",1,3,0
"17","ADAMTS4",1,11,0
"18","ADAMTSL4",1,12,0
"19","ADAR",1,7,0
"20","ADCY10",1,9,0
"21","ADGRB2",1,21,0
"22","ADGRL2",1,15,0
"23","ADGRL4",1,3,0
"24","ADORA3",1,2,0
"25","ADPRHL2",1,9,0
"26","AGBL4",1,2,0
"27","AGL",1,6,0
"28","AGMAT",1,5,0
"29","AGO1",1,11,0
"30","AGO3",1,10,0
"31","AGO4",1,7,0
"32","AGRN",1,40,0
"33","AGTRAP",1,1,0
"34","AHCYL1",1,9,0
"35","AHDC1",1,14,0
"36","AIM2",1,2,0
"37","AJAP1",1,11,0
"38","AK2",1,10,0
"39","AK4",1,2,0
"40","AK5",1,3,0
"41","AKIRIN1",1,3,0
"42","AKNAD1",1,12,0
"43","AKR1A1",1,6,0
"44","AKR7A2",1,9,0
"45","AKR7A3",1,1,0
"46","AKR7L",1,3,0
"47","ALDH4A1",1,5,0
"48","ALDH9A1",1,6,0
"49","ALG14",1,2,0
"50","ALG6",1,4,0
"51","ALPL",1,11,0
"52","ALX3",1,2,0
"53","AMIGO1",1,4,0
"54","AMPD1",1,7,0
"55","AMPD2",1,11,0
"56","AMY1A\x3bAMY1B\x3bAMY1C",1,5,0
"57","AMY1C\x3bAMY1C",1,2,0
"58","AMY2A",1,3,0
"59","AMY2B",1,12,0
"60","ANGPTL3",1,5,0
"61","ANGPTL7",1,4,0
"62","ANKRD13C",1,7,0
"63","ANKRD20A12P\x3bLOC102723769",1,3,0
"64","ANKRD34A",1,2,0
"65","ANKRD35",1,7,0
"66","ANKRD35\x3bNBPF10\x3bNBPF19\x3bNBPF20",1,3,0
"67","ANKRD45",1,4,0
"68","ANKRD65",1,5,0
"69","ANP32E",1,4,0
"70","ANXA9",1,7,0
"71","AP4B1",1,2,0
"72","AP4B1-AS1",1,5,0
"73","APCS",1,1,0
"74","APH1A",1,6,0
"75","APOA2",1,1,0
"76","AQP10",1,3,0
"77","ARHGAP29",1,9,0
"78","ARHGAP30",1,5,0
"79","ARHGEF10L",1,20,0
"80","ARHGEF11",1,24,0
"81","ARHGEF16",1,7,0
"82","ARHGEF19",1,4,0
"83","ARHGEF2",1,11,0
"84","ARHGEF2\x3bSSR2",1,3,0
"85","ARID1A",1,49,0
"86","ARMH1",1,8,0
"87","ARNT",1,5,0
"88","ARTN",1,2,0
"89","ASAP3",1,13,0
"90","ASB17",1,2,0
"91","ASH1L",1,20,0
"92","ASTN1",1,19,0
"93","ATAD3A",1,14,0
"94","ATAD3B",1,20,0
"95","ATAD3B\x3bATAD3A",1,1,0
"96","ATAD3C",1,11,0
"97","ATF6",1,3,0
"98","ATG4C",1,9,0
"99","ATP13A2",1,22,0
"100","ATP1A1",1,4,0
"101","ATP1A1-AS1",1,1,0
"102","ATP1A2",1,17,0
"103","ATP1A4",1,12,0
"104","ATP1B1",1,4,0
"105","ATP5IF1",1,5,0
"106","ATP5IF1\x3bSESN2",1,3,0
"107","ATP5PB",1,2,0
"108","ATP6V0B",1,7,0
"109","ATP8B2",1,10,0
"110","ATPAF1",1,6,0
"111","ATXN7L2",1,6,0
"112","AUNIP",1,2,0
"113","AURKAIP1",1,1,0
"114","AZIN2",1,4,0
"115","B3GALT6",1,3,0
"116","B4GALT2",1,10,0
"117","B4GALT3",1,4,0
"118","BARHL2",1,7,0
"119","BCAN",1,8,0
"120","BCAR3",1,8,0
"121","BCAS2",1,2,0
"122","BCL10",1,2,0
"123","BCL9",1,12,0
"124","BEND5",1,4,0
"125","BEST4",1,9,0
"126","BGLAP\x3bPMF1-BGLAP",1,1,0
"127","BMP8A",1,5,0
"128","BMP8B",1,4,0
"129","BMP8B\x3bPPIE",1,1,0
"130","BNIPL",1,3,0
"131","BOLA1",1,2,0
"132","BRDT",1,1,0
"133","BRINP2",1,4,0
"134","BSDC1",1,10,0
"135","BSND",1,4,0
"136","BTBD19",1,3,0
"137","BTBD8",1,1,0
"138","BTF3L4",1,3,0
"139","C1orf105",1,8,0
"140","C1orf109",1,6,0
"141","C1orf112",1,6,0
"142","C1orf122",1,1,0
"143","C1orf127",1,12,0
"144","C1orf137",1,2,0
"145","C1orf141",1,1,0
"146","C1orf146",1,1,0
"147","C1orf158",1,3,0
"148","C1orf159",1,5,0
"149","C1orf162",1,4,0
"150","C1orf167",1,11,0
"151","C1orf167-AS1",1,1,0
"152","C1orf174",1,5,0
"153","C1orf185",1,3,0
"154","C1orf189",1,1,0
"155","C1orf194",1,4,0
"156","C1orf210",1,2,0
"157","C1orf216",1,6,0
"158","C1orf226",1,3,0
"159","C1orf232",1,3,0
"160","C1orf43",1,1,0
"161","C1orf50",1,3,0
"162","C1orf52",1,2,0
"163","C1orf54",1,2,0
"164","C1orf56",1,1,0
"165","C1orf61",1,5,0
"166","C1orf68",1,3,0
"167","C1orf87",1,3,0
"168","C1orf94",1,9,0
"169","C1QA",1,1,0
"170","C1QC",1,4,0
"171","C1QTNF12",1,3,0
"172","C2CD4D",1,6,0
"173","C2CD4D-AS1",1,1,0
"174","C8A",1,5,0
"175","C8B",1,3,0
"176","CA14",1,8,0
"177","CA6",1,5,0
"178","CACHD1",1,16,0
"179","CACYBP",1,3,0
"180","CADM3",1,9,0
"181","CALML6",1,7,0
"182","CAMTA1",1,22,0
"183","CAP1",1,10,0
"184","CAPZA1",1,3,0
"185","CAPZA1\x3bST7L",1,1,0
"186","CAPZB",1,6,0
"187","CASP9",1,10,0
"188","CASQ1",1,6,0
"189","CASQ2",1,5,0
"190","CASZ1",1,22,0
"191","CATSPER4",1,7,0
"192","CC2D1B",1,10,0
"193","CCDC163",1,4,0
"194","CCDC17",1,7,0
"195","CCDC18",1,8,0
"196","CCDC181",1,3,0
"197","CCDC190",1,1,0
"198","CCDC24",1,4,0
"199","CCDC27",1,10,0
