DiseaseName,AssociatedGenes
1q21.1 recurrent microdeletion,"GJA5, GJA8"
2-aminoadipic 2-oxoadipic aciduria,DHTKD1
"2,4-Dienoyl-CoA reductase deficiency",NADK2
22q11.2 deletion syndrome,
22q13.3 deletion syndrome,SHANK3
3-M syndrome,
3-methylcrotonyl CoA carboxylase 2 deficiency,MCCC2
3-Methylglutaconic aciduria type 1,AUH
3-Methylglutaconic aciduria type 2,TAFAZZIN
3-Methylglutaconic aciduria type 3,OPA3
3-methylglutaconic aciduria type 9,TIMM50
3-methylglutaconic aciduria type V,DNAJC19
"3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia",CLPB
"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",SERAC1
"3-methylglutaconic aciduria, type VIII",HTRA2
3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency,SRD5A2
3 beta-Hydroxysteroid dehydrogenase deficiency,HSD3B2
3 Methylcrotonyl-CoA carboxylase 1 deficiency,MCCC1
3MC syndrome 1,MASP1
3MC syndrome 2,COLEC11
3MC syndrome 3,COLEC10
"46,XX sex reversal 4",NR5A1
"46,xx sex reversal 5",NR2F2
"46,XX sex reversal, type 1",SRY
"46,XX testicular disorder of sex development",
"46,XY gonadal dysgenesis, partial, with minifascicular neuropathy",DHH
"46,XY sex reversal 8","AKR1C2, AKR1C4"
"46,XY sex reversal 9",ZFPM2
"46,XY sex reversal, type 1",SRY
"46,XY sex reversal, type 2",NR0B1
"46,XY sex reversal, type 3",NR5A1
"46,XY sex reversal, type 5",CBX2
"46,XY sex reversal, type 6",MAP3K1
"46,XY sex reversal, type 7",DHH
4p partial monosomy syndrome,"CPLX1, CTBP1, FGFRL1, LETM1, NSD2, WHCR"
5-Oxoprolinase deficiency,OPLAH
Aarskog syndrome,FGD1
Abacavir hypersensitivity,HLA-B
ABCD syndrome,EDNRB
Abdominal obesity-metabolic syndrome 3,DYRK1B
Abetalipoproteinaemia,MTTP
Ablepharon macrostomia syndrome,TWIST2
ABO blood group system,ABO
Abortive cerebellar ataxia,OPA1
ABri amyloidosis,ITM2B
Abruzzo-Erickson syndrome,TBX22
Acatalasia,CAT
"Accelerated tumor formation, susceptibility to",MDM2
Acetyl-CoA acetyltransferase-2 deficiency,ACAT2
Acetyl-CoA: carboxylase deficiency,ACACA
Acheiropodia,LMBR1
Achondrogenesis type II,COL2A1
"Achondrogenesis, type IA",TRIP11
"Achondrogenesis, type IB",SLC26A2
Achondroplasia,FGFR3
Achromatopsia,"PDE6C, PDE6H, "
Achromatopsia 2,CNGA3
Achromatopsia 3,CNGB3
Achromatopsia 4,GNAT2
Achromatopsia 7,ATF6
Acid-labile subunit deficiency,IGFALS
Acid phosphatase deficiency,ACP2
"Acne inversa, familial, 2",PSENEN
"Acne inversa, familial, 3",PSEN1
Acontractile detrusor,CHRNA3
Acquired hemoglobin H disease,ATRX
Acquired partial lipodystrophy,LMNB2
Acrocallosal syndrome,KIF7
Acrocapitofemoral dysplasia,IHH
Acrocephalosyndactyly type I,FGFR2
Acrodysostosis 1 with or without hormone resistance,PRKAR1A
"Acrodysostosis 2, with or without hormone resistance",PDE4D
Acroerythrokeratoderma,SLURP1
"Acrofacial dysostosis, Cincinnati type",POLR1A
Acrokeratosis verruciformis of Hopf,ATP2A2
Acromelic frontonasal dysostosis,ZSWIM6
"Acromesomelic dysplasia, Demirhan type",BMPR1B
"Acromesomelic dysplasia, Hunter-Thompson type",GDF5
"Acromesomelic dysplasia, Maroteaux type",NPR2
Acromicric dysplasia,FBN1
ACTH-dependent Cushing syndrome,
ACTH-independent Cushing syndrome,
ACTH-independent macronodular adrenal hyperplasia 1,GNAS
Acth-independent macronodular adrenal hyperplasia 2,ARMC5
ACTH resistance,MC2R
Activated PI3K-delta syndrome,
ACTN3 deficiency,ACTN3
Acute alcohol sensitivity,ALDH2
"Acute erythroleukemia, familial",ERBB3
Acute febrile neutrophilic dermatosis,MEFV
Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins,TRMU
Acute intermittent porphyria,HMBS
Acute lymphoid leukemia,"BAX, BCR, FLT3, GNB1, NBN, NUP214, TAL1, TAL2"
Acute myeloid leukemia,"CBFB, CEBPA, CHIC2, DNMT3A, ETV6, FLT3, GATA2, JAK2, KIT, KRAS, LPP, MLLT10, NPM1, NUP214, PICALM, RUNX1, SH3GL1, TERT"
"Acute myeloid leukemia, M6 type",
Acute promyelocytic leukemia,"NUMA1, RARA"
"Acyl-CoA dehydrogenase family, member 9, deficiency of",ACAD9
Adams-Oliver syndrome,
Adams-Oliver syndrome 1,ARHGAP31
Adams-Oliver syndrome 2,DOCK6
Adams-Oliver syndrome 3,RBPJ
Adams-Oliver syndrome 4,EOGT
Adams-Oliver syndrome 5,NOTCH1
Adams-Oliver syndrome 6,DLL4
ADan amyloidosis,ITM2B
Adenine phosphoribosyltransferase deficiency,APRT
Adenosine kinase deficiency,ADK
"Adenosine triphosphate, elevated, of erythrocytes",PKLR
"Adenylate kinase deficiency, hemolytic anemia due to",AK1
Adenylosuccinate lyase deficiency,ADSL
Adermatoglyphia,SMARCAD1
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",CYP11A1
"Adrenocortical carcinoma, hereditary",TP53
Adrenocorticotropic hormone deficiency,TBX19
Adrenoleukodystrophy,ABCD1
Adult hypophosphatasia,ALPL
Adult neuronal ceroid lipofuscinosis,
Adult polyglucosan body disease,GBE1
