,SetID,P.value,N.Marker.All,N.Marker.Test
1,AASS,0.001447457,2,2
2,ABAT,0.004004543,1,1
3,ADAM12,0.004512205,1,1
4,ADAMTS12,0.006222443,1,1
5,ADAMTS17,0.00027875,3,3
6,ADAMTS19,0.001174239,1,1
7,ADAMTS6,0.00457234,1,1
8,ADAMTSL1,0.005391412,4,4
9,ADARB2,0.000841642,1,1
10,ADGRV1,0.004291762,1,1
11,ADRA1B,0.002146504,1,1
12,AGAP1,0.000117415,2,2
13,AKAP12,0.004435426,1,1
14,AKT2,0.005882709,1,1
15,ALDH18A1,0.005268857,1,1
16,ALDOB,0.000553471,1,1
17,ALK,0.007337955,2,2
18,ALOX12P2,0.006450601,1,1
19,ANGPT4,0.00086148,3,3
20,ANKRD28,3.92E-05,1,1
21,APAF1,0.000497657,1,1
22,ARAP2,0.004101323,1,1
23,ARHGAP26,0.003948366,1,1
24,ARHGEF3,0.005428939,1,1
25,ARHGEF7,0.002678825,1,1
26,ARID4A,0.001384071,2,2
27,ASAH1,0.00606554,1,1
28,ASIC2,0.000193564,2,2
29,ASTN2,0.004168225,2,2
30,ATP10A,0.000488898,2,2
31,ATP2B2,0.004469391,1,1
32,ATRNL1,0.001978445,1,1
33,ATXN10,0.002042209,1,1
34,B3GNTL1,0.004578946,1,1
35,BAD,0.003407003,1,1
36,BBS9,0.002322657,2,2
37,BCL2L14,0.000318465,2,2
38,BMP6,0.000449261,3,3
39,BNIP5,0.002192422,1,1
40,BOC,0.005568343,2,2
41,BOLL,0.002597013,1,1
42,C10orf53,0.001289304,3,3
43,C6orf89,0.004610136,1,1
44,CA10,0.00474264,1,1
45,CACNA2D1,0.006120333,1,1
46,CADM1,0.005737361,1,1
47,CAMKMT,0.005768407,1,1
48,CARM1P1,0.000456146,7,7
49,CATSPERE,0.000395662,1,1
50,CC2D2B,0.001721897,1,1
51,CCDC148,0.006856556,1,1
52,CCDC3,0.000527609,5,5
53,CCDC50,0.004306405,1,1
54,CCDC81,0.006910285,1,1
55,CCDC9,0.004314093,1,1
56,CCNC,0.005049132,2,2
57,CCSER1,0.003423867,4,4
58,CD163,0.00445734,1,1
59,CDCP2,0.003684467,1,1
60,CDH13,0.007177257,1,1
61,CDH18,0.004841403,2,2
62,CDHR2,8.02E-07,1,1
63,CEP112,0.001513994,1,1
64,CEP295NL,0.00560042,2,2
65,CLCN1,0.001446481,1,1
66,CLDN16,0.00464992,1,1
67,CLSPN,0.004166567,3,3
68,CNIH3,0.005904358,2,2
69,CNTN3,0.003079232,1,1
70,CNTN4,0.000147146,1,1
71,CNTN5,0.000829012,4,4
72,CNTN6,0.001669829,3,3
73,COG2,0.00506478,1,1
74,COL21A1,0.001910769,2,2
75,COL4A3,4.18E-06,1,1
76,COQ3,0.00295503,1,1
77,CPB1,0.002905554,1,1
78,CRHR2,0.001152964,2,2
79,CSMD1,0.001151883,6,6
80,CSMD3,0.003869463,2,2
81,CTNNA2,3.08E-06,1,1
82,CTNNA3,0.005530183,1,1
83,DAAM1,0.003160795,1,1
84,DAB1,0.005824385,1,1
85,DGKB,0.007306059,1,1
86,DIS3L2,0.00084559,3,3
87,DLC1,0.004658667,7,7
88,DNAJC5,0.004877376,2,2
89,DOCK2,0.004164673,1,1
90,DSCAML1,0.004471008,1,1
91,DSTN,0.00171939,2,2
92,E2F3,0.005145024,2,2
93,ELMO1,0.004121977,1,1
94,ELMOD1,0.007258023,1,1
95,EPAS1,0.003365238,1,1
96,EPB41L3,0.002909231,2,2
97,EPHA6,0.00253668,1,1
98,ERBB4,0.000110923,1,1
99,ERC2,0.000827311,3,3
100,ESRRG,0.000993457,1,1
101,EYA2,0.000327573,1,1
102,FAM107B,0.004746452,1,1
103,FAM155A,0.006998608,1,1
104,FAM189A1,0.003365167,5,5
105,FAT3,0.005295205,1,1
106,FBLN1,0.002007762,1,1
107,FBXL13,0.006074761,1,1
108,FGF14,0.00503526,1,1
109,FHIT,0.004661688,3,3
110,FMN1,0.004984747,3,3
111,FOXN3,0.00474991,1,1
112,FREM2,0.005769941,3,3
113,FRMD4A,0.004340387,1,1
114,FRMD4B,0.003267678,2,2
115,FRMPD1,0.000995941,1,1
116,FSTL4,0.003483854,1,1
117,GABRB3,0.002639181,2,2
118,GADL1,0.004901272,2,2
119,GARS1,0.001463825,3,3
120,GARS1-DT,0.000551279,4,4
121,GAS7,0.000630776,1,1
122,GDF10,0.000334272,2,2
123,GGCT,0.000184237,5,5
124,GIPC2,0.003576785,1,1
125,GPR137,0.003407003,1,1
126,GPR156,0.001236977,4,4
127,GPRIN3,0.000151547,1,1
128,GPX5,0.001081746,5,5
129,GPX6,0.001082407,11,11
130,GRAMD4,0.004449024,1,1
131,GRHL2,0.005832832,1,1
132,GRIK2,0.002198991,4,4
133,GRIP1,0.005818772,1,1
134,GRM7,0.004901268,2,2
135,GRM8,0.002426904,1,1
136,GSDME,0.002922683,2,2
137,GTPBP3,3.65E-07,1,1
138,GUCY1B2,0.000648366,1,1
139,HDAC4,0.001387617,2,2
140,HERC5,0.005613844,1,1
141,HEXB,0.00404985,2,2
142,HLTF,0.003646691,1,1
143,HNF4A,0.005103146,1,1
144,HSD17B3,0.002995755,1,1
145,HSD17B4,0.005800014,1,1
146,HSF2BP,0.000295304,1,1
147,HTN1,0.000740502,2,2
148,HYDIN,0.003552314,1,1
149,IDO2,0.000873816,2,2
150,IGFN1,0.004953321,1,1
151,IMPG1,0.000915428,3,3
152,INPP5D,0.001046083,1,1
153,IQGAP2,0.000448901,2,2
154,IRF2,0.001688645,1,1
155,IRF6,0.000748394,1,1
156,ITGA11,0.000800987,1,1
157,ITGA6,0.002895294,2,2
158,ITGAM,0.003287917,3,3
159,ITGAX,0.000555021,1,1
160,ITGB8,0.005349698,1,1
161,ITPK1,0.005609302,1,1
162,JAZF1,0.002351366,1,1
163,KCNE4,0.004594114,3,3
164,KCNH5,0.001717267,1,1
165,KCNQ1,5.50E-05,2,2
166,KCNQ5,0.004115835,1,1
167,KIAA1191,1,1,0
168,KLHL14,0.004503033,1,1
169,KLHL23,0.005326565,1,1
170,LAMB1,0.006860389,1,1
171,LARGE1,0.004219884,1,1
172,LBP,3.65E-07,1,1
173,LEKR1,1.15E-06,1,1
174,LGR6,0.00434467,2,2
175,LHFPL3,0.001258415,1,1
176,LHFPL6,0.002320537,2,2
177,LOXL4,0.003392293,1,1
178,LRFN2,0.001738754,1,1
179,LRMDA,0.002170814,4,4
180,LRP1B,1,1,0
181,LRRC17,0.003688367,1,1
182,LRRC7,0.007116649,2,2
183,LRRC77P,1,1,0
184,LRRC8D,0.004217706,1,1
185,MALRD1,0.001272192,2,2
186,MAML1,0.000584423,1,1
187,MAML2,0.00323753,3,3
188,MAP2K7,0.001655396,1,1
189,MAP3K1,0.00066216,1,1
190,MAP3K10,1,1,0
191,MAPRE2,0.004269797,1,1
192,MCHR2,0.007625844,1,1
193,MCM2,0.001722258,1,1
194,MED15,0.004995209,1,1
195,MGMT,0.00173063,2,2
196,MGST1,0.001501496,4,4
197,MMRN1,0.005511737,1,1
198,MNDA,0.001252614,1,1
199,MSR1,0.002515672,3,3
200,MSRA,0.007299587,1,1
201,MYO16,0.004175195,2,2
202,NAPB,0.006442013,1,1
203,NAV2,0.002140905,1,1
204,NCAM2,0.005199509,2,2
205,NCEH1,0.005705662,1,1
206,NEGR1,1,1,0
207,NELL1,0.003038848,1,1
208,NF1,0.001400475,1,1
209,NFIA,0.00131739,1,1
210,NKAIN1,0.002850145,1,1
211,NLRC5,1,1,0
212,NLRP11,0.005775466,2,2
213,NNMT,0.005504461,2,2
214,NPAS3,0.003816806,2,2
215,NREP,0.005395251,1,1
216,NRG2,0.001683912,1,1
217,NRXN3,4.60E-07,2,2
218,NSMCE3,0.004348403,1,1
219,NTM,0.005009259,1,1
220,OPCML,0.006160112,1,1
221,OSBPL3,0.002275762,1,1
222,PAMR1,0.003784937,1,1
223,PARD6G,1,1,0
224,PBX1,0.001286721,1,1
225,PCLO,0.000565735,1,1
226,PCSK5,0.003951114,2,2
227,PDE1C,0.000387117,2,2
228,PDE4B,0.00075392,1,1
229,PDE4D,0.004231785,1,1
230,PDP1,0.004897274,1,1
231,PFKP,0.006609098,1,1
232,PHF21B,0.000891555,1,1
233,PIEZO2,0.005143218,2,2
234,PIK3C2G,0.001546523,1,1
235,PIP5K1B,0.003558097,1,1
236,PISD,0.004249385,1,1
237,PITPNC1,3.04E-05,1,1
238,PKHD1,0.004609844,1,1
239,PLCG2,0.004166226,1,1
240,PLD1,0.005798472,2,2
241,PLEKHG1,0.002135028,1,1
242,PNPLA1,0.003405968,1,1
243,PRAC2,0.003333405,1,1
244,PRICKLE2,0.001120211,3,3
245,PRKCE,0.000966821,4,4
246,PRSS23,0.001988704,1,1
247,PSMA5,0.003234512,1,1
248,PSMB2,0.002361304,2,2
249,PTCHD4,0.004722802,2,2
250,PTPRD,0.004296593,3,3
251,PTPRM,0.004348272,2,2
252,PTPRQ,3.36E-05,1,1
253,PTPRT,0.001257304,1,1
254,PTPRZ1,0.001168419,1,1
255,PVALB,0.005830031,1,1
256,PXDNL,0.001161574,2,2
257,RAPGEF5,0.000507927,4,4
258,RASGRP3,0.004176857,2,2
259,RASSF3,0.003614758,1,1
260,RBFOX1,0.000715009,4,4
261,RBM47,0.005387305,2,2
262,RBMS1,0.003465308,5,5
263,RCAN2,0.002709341,1,1
264,RCSD1,0.003824286,1,1
265,RELCH,3.09E-06,1,1
266,RELN,0.004718501,1,1
267,RERG,1,1,0
268,RIN2,0.00212717,1,1
269,RNASEH2B,0.000648366,1,1
270,RNF185,0.006040142,1,1
271,RNF213,0.002610013,1,1
272,ROBO2,8.77E-05,2,2
273,ROPN1L,0.001319113,1,1
274,RP1,0.004089316,2,2
275,RPS6KB1,3.65E-07,1,1
276,SAMD12,0.005287471,1,1
277,SARS1,0.002069002,1,1
278,SDC2,0.006534726,1,1
279,SERPINA9,0.003997894,1,1
280,SFI1,0.001195938,2,2
281,SFXN2,0.000560859,1,1
282,SGCD,0.00446645,6,6
283,SGCZ,0.002619915,4,4
284,SH2B2,0.001544367,1,1
285,SH2D4B,0.00097596,1,1
286,SHB,0.000839931,2,2
287,SHROOM3,0.002461348,1,1
288,SIRPA,0.000442366,1,1
289,SKAP1,1,1,0
290,SLC12A1,0.002889509,1,1
291,SLC13A3,0.003302915,3,3
292,SLC1A2,0.001500477,1,1
293,SLC24A2,0.003900464,1,1
294,SLC25A37,0.006392111,2,2
295,SLC25A46,0.004604795,1,1
296,SLC39A10,0.000559472,1,1
297,SLCO4A1,0.003298666,3,3
298,SLIT1,0.005340868,1,1
299,SMAP1,0.005665211,1,1
300,SMURF1,0.002888612,3,3
301,SNAP25,0.005513151,1,1
302,SNRPN,0.005732176,1,1
303,SNTG1,0.003882315,2,1
304,SNX10,0.00261822,1,1
305,SORBS2,0.002147423,1,1
306,SORL1,0.004730743,1,1
307,SP4,0.003769411,4,4
308,SPATA13,0.004198511,1,1
309,SPATA17,0.003570249,1,1
310,SPATA19,0.000110356,1,1
311,SPICE1,0.00205871,1,1
312,SPNS2,0.002193557,1,1
313,SPP2,0.001846404,1,1
314,SQSTM1,0.004520334,1,1
315,SRD5A1,0.005930716,1,1
316,ST13,0.005982643,1,1
317,ST6GALNAC3,0.00680657,1,1
318,STEAP1,0.001983013,1,1
319,STEAP2,0.0047641,2,2
320,STX8,0.006515716,2,2
321,SYNDIG1,0.004701956,1,1
322,TAFA1,0.00047593,5,5
323,TAGLN3,0.000878811,1,1
324,TANGO6,0.003304351,1,1
325,TBCE,0.005431853,1,1
326,TCTN3,0.005268857,1,1
327,TENM4,0.002118193,1,1
328,TGFBR2,0.003824697,1,1
329,THRB,0.00256486,4,4
330,THUMPD3,0.001555255,1,1
331,TIMP2,0.004865268,3,3
332,TJP1,0.003455313,1,1
333,TLE2,5.47E-06,1,1
334,TMED3,0.004682928,1,1
335,TMEM132C,0.004050466,1,1
336,TMEM163,0.00163804,1,1
337,TMOD1,0.002738457,1,1
338,TMPRSS11A,1,1,0
339,TMPRSS15,0.002076018,2,2
340,TMTC1,0.006967067,2,2
341,TNR,0.003735438,3,3
342,TNS1,0.001613591,1,1
343,TOP2A,0.003093841,1,1
344,TOX,0.003115508,1,1
345,TPRG1,0.003539203,2,2
346,TRAK1,0.000837612,1,1
347,TRAPPC9,0.001544759,8,8
348,TRIM67,0.001003227,1,1
349,TRPC3,0.00609048,1,1
350,TRPM3,0.005831054,1,1
351,TRPM8,0.00118013,1,1
352,TSPAN16,0.005488467,1,1
353,TSTD3,0.005049864,1,1
354,TTC27,0.006619716,1,1
355,TTC39B,0.00226934,1,1
356,TTC39C,0.004019489,2,2
357,TUSC3,0.00182088,1,1
358,U2SURP,0.003944926,1,1
359,UBE2E2,0.003462529,1,1
360,UBR4,0.003390404,10,10
361,UMAD1,0.000791663,3,3
362,USE1,2.52E-06,1,1
363,USP12,3.02E-07,1,1
364,USP45,0.000588828,3,3
365,UST,0.006776792,1,1
366,VLDLR,0.006614061,1,1
367,VSTM2B-DT,0.004272682,1,1
368,WDFY4,0.001241565,1,1
369,WDPCP,2.76E-06,1,1
370,WDR59,0.002967456,1,1
371,WIF1,0.002849802,1,1
372,WSCD1,0.003816548,1,1
373,WWC1,0.000749177,2,2
374,WWOX,0.000398818,3,3
375,XKR4,0.001860119,1,1
376,XXYLT1,1,1,0
377,YTHDF3,0.005806231,1,1
378,ZC3HC1,0.003054204,1,1
379,ZCCHC17,0.005024686,1,1
380,ZFHX3,0.006456312,1,1
381,ZMIZ1,0.003104435,1,1
382,ZMYM4,0.000471953,1,1
383,ZNF227,0.001287588,1,1
384,ZNF702P,0.004971687,1,1
385,ZNF74,0.003374024,1,1
386,ZNF804A,0.001185008,3,3
387,ZSCAN31,0.000528477,4,4
